pair,control_condition,plating_condition,temperature_C,charge_rate,control_direct_plating_signal,plating_direct_plating_signal,plating_loss_capacity_Ah_abs_max,plating_loss_lithium_mol_abs_max,plating_current_density_A_m2_abs_max,plated_lithium_thickness_m_abs_max,dead_lithium_thickness_m_abs_max,control_Q_discharge_Ah,plating_Q_discharge_Ah,delta_Q_discharge_plating_minus_control_Ah,delta_Q_discharge_plating_minus_control_pct
25C_1C,no_plating_25C_1C,plating_25C_1C,25.0,1C,False,True,0.044523293443319005,0.0016612251092332127,0.030974344482097748,6.417974840354724e-09,2.713942421530352e-11,4.978100922212938,4.975338087957273,-0.0027628342556651475,-0.05549976384241266
10C_1C,no_plating_10C_1C,plating_10C_1C,10.0,1C,False,True,0.07279505325970724,0.0027160832218520612,0.05752244407586779,1.0484515018538828e-08,5.566762451197234e-11,4.880209778459708,4.872680232017803,-0.007529546441904955,-0.154287352054801
10C_2C,no_plating_10C_2C,plating_10C_2C,10.0,2C,False,True,0.09544589746563675,0.003561217268104115,0.1387827691738721,1.3761150173688994e-08,7.485025140142761e-11,4.877728122196808,4.8676162631026125,-0.010111859094195097,-0.20730673872903288
