cycle,central_Q_lo_Ah,central_Q_hi_Ah,central_n_points,central_deltaU_mean_mV,central_deltaU_median_mV,central_deltaU_min_mV,central_deltaU_max_mV,central_deltaU_p95_abs_mV,central_deltaU_max_abs_mV,endpoint_n_points,endpoint_deltaU_mean_mV,endpoint_deltaU_p95_abs_mV,endpoint_deltaU_max_abs_mV
0,0.2,4.5,1024,0.0,0.0,0.0,0.0,0.0,0.0,133,0.0,0.0,0.0
20,0.2,4.5,1024,-2.2578349036275114,-2.0392157032700364,-13.06676445403987,-0.12680120863972633,4.472989459962415,13.06676445403987,133,-19.085216897917764,65.71247888784035,78.19168191795623
50,0.2,4.5,1024,-2.4602774256501476,-2.131632450071752,-15.231720281818184,-0.2764713910288208,5.2035380382461565,15.231720281818184,133,-23.519014512608855,82.4897600815589,95.41475107118825
100,0.2,4.5,1024,-2.694278227118091,-2.195468740115114,-17.778597972086363,-0.33070063523510385,6.250651307425004,17.778597972086363,133,-28.933494390827796,102.53897055282567,115.11996341509345
