cycle,full_mean_deltaU_mV,central_mean_deltaU_mV,full_p95_abs_mV,central_p95_abs_mV,endpoint_p95_abs_mV,endpoint_amplification_flag
0,0.0,0.0,0.0,0.0,0.0,False
20,-4.160465129919422,-2.2578349036275114,13.706564391257055,4.472989459962415,65.71247888784035,True
50,-4.825934298762057,-2.4602774256501476,16.622546139306746,5.2035380382461565,82.4897600815589,True
100,-5.626498540881327,-2.694278227118091,20.185534687313318,6.250651307425004,102.53897055282567,True
