degradation_metric,deltaU_mean_corr,metric_0,metric_100,deltaU_mean_100_mV
sei_thickness_m,-0.8349246555815918,5.00757281415115e-09,1.8664430099574105e-08,-2.2800390207679824
lli_percent,-0.8349246567296736,9.347460243702699e-05,0.16866611780562835,-2.2800390207679824
total_lithium_lost_mol,-0.8349246567299909,2.65436179536227e-07,0.0004789545915127036,-2.2800390207679824
sei_capacity_loss_Ah,-0.8349246555815919,7.1140828277454354e-06,0.01283669261942412,-2.2800390207679824
