variable
Negative lithium plating concentration [mol.m-3]
X-averaged negative lithium plating concentration [mol.m-3]
Volume-averaged negative lithium plating concentration [mol.m-3]
Negative dead lithium concentration [mol.m-3]
X-averaged negative dead lithium concentration [mol.m-3]
Volume-averaged negative dead lithium concentration [mol.m-3]
Negative lithium plating thickness [m]
X-averaged negative lithium plating thickness [m]
Volume-averaged negative lithium plating thickness [m]
Negative dead lithium thickness [m]
X-averaged negative dead lithium thickness [m]
Volume-averaged negative dead lithium thickness [m]
Loss of lithium to negative lithium plating [mol]
Loss of capacity to negative lithium plating [A.h]
Positive lithium plating concentration [mol.m-3]
X-averaged positive lithium plating concentration [mol.m-3]
Volume-averaged positive lithium plating concentration [mol.m-3]
Positive dead lithium concentration [mol.m-3]
X-averaged positive dead lithium concentration [mol.m-3]
Volume-averaged positive dead lithium concentration [mol.m-3]
Positive lithium plating thickness [m]
X-averaged positive lithium plating thickness [m]
Volume-averaged positive lithium plating thickness [m]
Positive dead lithium thickness [m]
X-averaged positive dead lithium thickness [m]
Volume-averaged positive dead lithium thickness [m]
Loss of lithium to positive lithium plating [mol]
Loss of capacity to positive lithium plating [A.h]
Positive electrode lithium plating interfacial current density [A.m-2]
X-averaged positive electrode lithium plating interfacial current density [A.m-2]
Positive electrode lithium plating reaction overpotential [V]
X-averaged positive electrode lithium plating reaction overpotential [V]
Positive electrode lithium plating volumetric interfacial current density [A.m-3]
X-averaged positive electrode lithium plating volumetric interfacial current density [A.m-3]
Negative electrode lithium plating reaction overpotential [V]
X-averaged negative electrode lithium plating reaction overpotential [V]
Negative electrode lithium plating interfacial current density [A.m-2]
X-averaged negative electrode lithium plating interfacial current density [A.m-2]
Negative electrode lithium plating volumetric interfacial current density [A.m-3]
X-averaged negative electrode lithium plating volumetric interfacial current density [A.m-3]
Total lithium lost [mol]
Total lithium lost from particles [mol]
Total lithium lost from electrolyte [mol]
Total lithium lost to side reactions [mol]
