condition,R_contact_mOhm,t_on_s,t_off_s,U_C_V,I_C_A,I_pulse_A,deltaI_on_A,Ri_0.05s_mOhm,U_at_0.05s_V,t_at_0.05s_s,Ri_0.1s_mOhm,U_at_0.1s_V,t_at_0.1s_s,Ri_1s_mOhm,U_at_1s_V,t_at_1s_s,Ri_10s_mOhm,U_at_10s_V,t_at_10s_s,U_E_V,I_E_A,Ri_recovery_0.1s_mOhm,U_recovery_0.1s_V,t_recovery_0.1s_s,Ri_recovery_1s_mOhm,U_recovery_1s_V,t_recovery_1s_s,U_off_V,U_inf_600s_V,recovery_amplitude_mV,tau_FG_eff_s,t95_s,t99_s,recovery_area_mV_s,tau_tail_s
Rcontact_0mOhm,0.0,9000.000000000002,9010.0,3.761751150205643,0.0,5.0,5.0,24.40753075692026,3.6397134964210416,9000.000000000002,24.491690775339148,3.639292696328947,9000.1,25.193035260949603,3.635785973900895,9001.0,29.980926386958373,3.611846518270851,9010.0,3.611846518270851,5.0,24.093584354587705,3.7323144400437895,9010.1,24.401713053123597,3.733855083536469,9011.0,3.611846518270851,3.7586280203304763,146.78150205962527,1.8189894035458565e-12,36.5,156.79999999999927,87005.51172933227,29.80130332584302
Rcontact_2mOhm,2.0,9000.000000000002,9010.0,3.761751150205887,0.0,5.0,5.0,26.407530756964803,3.629713496421063,9000.000000000002,26.49169077536886,3.629292696329043,9000.1,27.193035260923715,3.6257859739012686,9001.0,31.980926387068287,3.6018465182705457,9010.0,3.6018465182705457,5.0,26.09358435454716,3.7323144400432815,9010.1,26.40171305311263,3.733855083536109,9011.0,3.6018465182705457,3.7586280203308315,156.78150206028585,1.8189894035458565e-12,33.79999999999927,148.70000000000073,93005.51172981138,28.965418218351886
Rcontact_5mOhm,5.0,9000.000000000002,9010.0,3.7617511502052032,0.0,5.0,5.0,29.407530756905498,3.6147134964206757,9000.000000000002,29.491690775346413,3.614292696328471,9000.1,30.193035260950918,3.6107859739004486,9001.0,34.98092638691928,3.586846518270607,9010.0,3.586846518270607,5.0,29.09358435460989,3.7323144400436563,9010.1,29.40171305312118,3.7338550835362128,9011.0,3.586846518270607,3.7586280203301548,171.7815020595479,1.8189894035458565e-12,30.100000000000364,138.0,102005.51172931385,27.777759187937924
Rcontact_10mOhm,10.0,9000.000000000002,9010.0,3.7617511502054923,0.0,5.0,5.0,34.40753075694873,3.5897134964207487,9000.000000000002,34.491690775373215,3.5892926963286262,9000.1,35.19303526106788,3.585785973900153,9001.0,39.98092638687547,3.561846518271115,9010.0,3.561846518271115,5.0,34.093584354612005,3.732314440044175,9010.1,34.401713053220284,3.7338550835372164,9011.0,3.561846518271115,3.7586280203298834,196.78150205876844,1.8189894035458565e-12,25.0,123.29999999999927,117005.51172884884,26.046840070724496
