case,fingerprint,metric,sign_stable,min_value,max_value,mean_value,range,cv_pct,values_by_temperature
Ds_p_x0p5,diffusion-sensitive tau2_60s,biexp60_tau2_s_delta,True,12.069146787013665,13.018579471645566,12.6704973254719,0.9494326846319012,3.3698533377524402,"[13.018579471645566, 12.923765717756467, 12.069146787013665]"
Ds_p_x0p5,diffusion-sensitive tau2_300s,biexp300_tau2_s_delta,True,27.076464623787047,27.180204272078555,27.122612865908042,0.1037396482915085,0.15897279932332303,"[27.180204272078555, 27.076464623787047, 27.11116970185853]"
j0_n_x0p5,negative kinetic Ri_CD,Ri_CD_mohm_delta,True,5.9645302017850454,6.7607610634682125,6.469212155351389,0.796230861683167,5.538495950730465,"[6.68234520080091, 6.7607610634682125, 5.9645302017850454]"
j0_p_x0p5,positive kinetic Ri_CD,Ri_CD_mohm_delta,True,1.7098527761890026,3.125395926699696,2.41434293463927,1.4155431505106932,23.9366038420331,"[3.125395926699696, 2.407780101029111, 1.7098527761890026]"
contact_R_5mOhm,pure contact Ri_CD,Ri_CD_mohm_delta,True,4.999999999999979,4.999999999999982,4.999999999999981,3.552713678800501e-15,3.401464382180356e-14,"[4.999999999999979, 4.999999999999982, 4.999999999999982]"
contact_R_5mOhm,contact overpotential,contact_overpotential_absmax_mV_delta,True,25.00000000000002,25.00000000000002,25.000000000000018,0.0,1.4210854715201994e-14,"[25.00000000000002, 25.00000000000002, 25.00000000000002]"
