cycle,n_points,Q_end_Ah,U_first_rest_end_V,U_last_rest_end_V,voltage_span_V,Q_nonmonotonic_count,U_rest_end_increase_count,U_rest_end_increase_fraction,pulse_Q_mean_Ah,pulse_Q_cv_pct,rest_recovery_positive_fraction,rest_recovery_mean_mV,rest_recovery_min_mV,rest_recovery_max_mV,pass_reconstruction_quality
0,16,3.999999999999986,4.122518341904934,3.496030393902838,0.626487948002096,0,0,0.0,0.2499999999999991,2.5566787501073194e-13,1.0,12.089242092628266,5.772889428586225,14.815691784384466,True
20,16,3.999999999999767,4.1202205342285945,3.494346417412191,0.6258741168164033,0,0,0.0,0.24999999999998535,1.2653376975368038e-12,1.0,11.974609042056965,5.952118469609857,14.9199734996035,True
