cycle,region,n_smoothing_windows,ICA_peak_mag_Ah_per_V_mean,ICA_peak_mag_Ah_per_V_std,ICA_peak_mag_Ah_per_V_range,ICA_peak_mag_Ah_per_V_cv_pct,ICA_peak_Q_Ah_mean,ICA_peak_Q_Ah_std,ICA_peak_Q_Ah_range,ICA_peak_Q_Ah_cv_pct,ICA_median_Ah_per_V_mean,ICA_median_Ah_per_V_std,ICA_median_Ah_per_V_range,ICA_median_Ah_per_V_cv_pct,DVA_peak_mag_V_per_Ah_mean,DVA_peak_mag_V_per_Ah_std,DVA_peak_mag_V_per_Ah_range,DVA_peak_mag_V_per_Ah_cv_pct,DVA_peak_Q_Ah_mean,DVA_peak_Q_Ah_std,DVA_peak_Q_Ah_range,DVA_peak_Q_Ah_cv_pct,DVA_median_V_per_Ah_mean,DVA_median_V_per_Ah_std,DVA_median_V_per_Ah_range,DVA_median_V_per_Ah_cv_pct
0,central,4,26.620536486837903,3.746230443395392,9.092151130304778,14.072708283875704,0.43001260538302805,0.07013446005401919,0.18484174832841427,16.309861426398847,5.812399077159302,0.04026508840698156,0.0947844511458511,0.6927447319508615,0.40669655286158957,0.08904346682740967,0.23842957958532907,21.89432543769647,4.374703552664414,0.05358145134360237,0.1445126396022154,1.2248018796832205,0.17205431590033982,0.0011912637524709078,0.0028031841026177062,0.6923765592494242
0,endpoint,4,3.7372358549564457,0.8101463486817034,1.981526869226418,21.677688541044596,4.552823782871795,0.033555037655727975,0.0873797355734327,0.7370159544053864,1.5019914034903812,0.258709621579876,0.6265048736991841,17.22444089750962,2.3217738315959906,0.8466677465858004,2.184836847645556,36.46641783380768,4.945192403187111,0.06453620041824533,0.1680379530258307,1.3050291102253697,0.6828783137268672,0.09933698506718035,0.24398843299118766,14.546806227458037
0,full,4,21.27625649378882,3.4735521216878213,8.755737878825874,16.325955285892775,0.5131913921308144,0.026181046484554066,0.07057594027084912,5.101614502115503,5.601667625767899,0.03253516783264339,0.08820369235658454,0.5808121796263008,2.3217738315959906,0.8466677465857801,2.1848368476454993,36.466417833806815,4.945192403187111,0.06453620041824533,0.1680379530258307,1.3050291102253697,0.1785243142016526,0.0010403479343150863,0.0028181132286135835,0.5827485958803116
20,central,4,27.122880400448494,3.600457198860856,9.13741428196317,13.274612230348955,0.43421355420867386,0.07256341115334819,0.18148098926789769,16.71145694325234,5.8326150809676225,0.08651521401549628,0.21254379630832787,1.4833005918357898,0.4551193198457213,0.10485509894756595,0.2820518862965855,23.039034902563635,4.387306399141352,0.0645362004182455,0.16803795302583158,1.4709754584470327,0.1714872149575939,0.002529044331835896,0.0062064377987667285,1.4747713597548884
20,endpoint,4,3.650208681106494,0.6745871194453552,1.6272284990059518,18.480782288887287,4.539380746629729,0.030927658012443335,0.0772974583918824,0.6813188789110856,1.4141390234508626,0.2117225358514921,0.5020855630917187,14.971833203134066,2.6337021708113753,0.9642927448427767,2.498083539780737,36.61358355283214,4.945192403187111,0.06453620041824533,0.1680379530258307,1.3050291102253697,0.7209765576086724,0.09242258908600853,0.22085862603259443,12.81908379830751
20,full,4,21.30573542253553,3.559041715013459,8.956775463807432,16.704618002760817,0.5098306330702979,0.01124097293901081,0.02688607248413294,2.204844552261506,5.618790785349084,0.04680939081234173,0.11037254223943904,0.8330865590225665,2.6337021708113753,0.964292744842727,2.4980835397805095,36.61358355283026,4.945192403187111,0.06453620041824533,0.1680379530258307,1.3050291102253697,0.17798661053701892,0.001483439792696805,0.0034989284342827887,0.8334558359311353
50,central,4,27.128144611080433,3.67265065548102,9.402641395585047,13.538156435442083,0.43337336444354474,0.07192338472279247,0.18148098926789769,16.596171021064652,5.829938816294308,0.08540627605285817,0.2093557169438407,1.4649600749522973,0.46471892847523577,0.10823862405377173,0.29091012190781385,23.291201933372424,4.387306399141352,0.0645362004182455,0.16803795302583158,1.4709754584470327,0.17156505400630806,0.0025028027231438375,0.006128631509682236,1.4588068284884026
50,endpoint,4,3.4866405324257252,0.4596130721990753,0.9843295835333379,13.182118085437198,4.536860177334342,0.02996545955422938,0.07393669933136593,0.6604889369069283,1.4045671493452452,0.2027636519379286,0.4816237796893028,14.436024082753834,2.6825986084212303,0.9694989677422321,2.5084062793325757,36.14029190572063,4.945192403187111,0.06453620041824533,0.1680379530258307,1.3050291102253697,0.7249587043511738,0.09005189569900705,0.21563623119604358,12.42165866255817
50,full,4,21.318194454408346,3.577842174026215,9.135151501995267,16.783045026059234,0.5106708228354271,0.01405906382373236,0.036968349665682854,2.7530579768923173,5.615147019291098,0.047628361961329725,0.11140918705290215,0.8482121981437045,2.6825986084212445,0.9694989677422159,2.508406279332519,36.140291905719835,4.945192403187111,0.06453620041824533,0.1680379530258307,1.3050291102253697,0.17810256483940634,0.0015114912160970227,0.0035370688353282276,0.8486633628549494
100,central,4,27.132344802955043,3.7870608003250275,9.779098420381573,13.957735049543416,0.4316929849132864,0.07035554644867478,0.178120230207381,16.29758854265538,5.828535724760036,0.08773505300815816,0.21193290268629816,1.5052674831425223,0.469955483876376,0.10746142734240499,0.28802713316417794,22.866299262224,4.386466209376223,0.06356078609875146,0.1646771939653151,1.449020306206579,0.1716083980146692,0.0025718570792667805,0.006203156711080737,1.4986778671792835
