condition,plating_mode,temperature_C,charge_rate,t_end_h,loss_of_capacity_to_plating_Ah_last,loss_of_capacity_to_plating_Ah_abs_max,loss_of_lithium_to_plating_mol_last,loss_of_lithium_to_plating_mol_abs_max,plated_lithium_concentration_abs_max,dead_lithium_concentration_abs_max,plated_lithium_thickness_m_abs_max,dead_lithium_thickness_m_abs_max,plating_current_density_A_m2_abs_max,plating_overpotential_V_abs_max,any_direct_plating_signal_nonzero,capacity_loss_to_plating_nonzero,plating_current_density_nonzero
no_plating_25C_1C,none,25.0,1C,6.610601355333781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
plating_25C_1C,partially reversible,25.0,1C,6.6031442068143225,0.00018776513547199858,0.044523293443319005,7.005774585875012e-06,0.0016612251092332127,189.55688357571714,0.8015713374170766,6.417974840354724e-09,2.713942421530352e-11,0.030974344482097748,1.0649302370306792,True,True,True
plating_10C_1C,partially reversible,10.0,1C,6.983346434025791,0.0003854268344404644,0.07279505325970724,1.4380803521641766e-05,0.0027160832218520612,309.6634128604931,1.644160608452846,1.0484515018538828e-08,5.566762451197234e-11,0.05752244407586779,1.04455699545829,True,True,True
plating_10C_2C,partially reversible,10.0,2C,6.842280813707536,0.0005182831854676228,0.09544589746563675,1.9337856092974744e-05,0.003561217268104115,406.4398515463408,2.210725461449359,1.3761150173688994e-08,7.485025140142761e-11,0.1387827691738721,1.0445725621797357,True,True,True
