condition,branch,electrode,LAM_fraction,q_common_max_Ah,central_Q_lo_Ah,central_Q_hi_Ah,full_deltaU_mean_mV,full_deltaU_median_mV,full_deltaU_p95_abs_mV,full_deltaU_max_abs_mV,central_deltaU_mean_mV,central_deltaU_median_mV,central_deltaU_p95_abs_mV,central_deltaU_max_abs_mV,endpoint_deltaU_mean_mV,endpoint_deltaU_p95_abs_mV,endpoint_deltaU_max_abs_mV,endpoint_amplification_flag
NE_LAM_10pct,NE_LAM,negative,0.1,4.105032579967298,0.2,4.055032579967298,-12.481882135966165,-2.9521721093750397,47.90607465400882,98.37679827977652,-12.35302691109364,-3.2836539949228083,46.87399967857697,80.48412187183773,-92.23133680923428,98.05606411613448,98.37679827977652,True
NE_LAM_20pct,NE_LAM,negative,0.2,4.105032579967298,0.2,4.055032579967298,-57.73377536346939,-9.257208163547803,299.4246743097944,874.9272043101923,-54.10497091157658,-11.775588366395695,283.0492687206627,703.5053897699472,-798.3759657936585,867.4280928028954,874.9272043101923,True
NE_LAM_5pct,NE_LAM,negative,0.05,4.105032579967298,0.2,4.055032579967298,-4.983528935699542,-1.227609604751656,23.306632536785642,28.90374547006802,-5.162482944736277,-1.353981520429759,23.746291910637485,28.90374547006802,-9.103194466969981,12.236521208438322,12.689037550268623,False
PE_LAM_10pct,PE_LAM,positive,0.1,4.105032579967298,0.2,4.055032579967298,-29.345420283122397,-36.51533031084764,48.58341269588065,49.64552582606796,-30.430542334987653,-36.580939934105494,48.68103441657689,49.64552582606796,-42.407571527317565,42.51212772399055,42.515437598953376,False
PE_LAM_20pct,PE_LAM,positive,0.2,4.105032579967298,0.2,4.055032579967298,-64.06971336035483,-78.7503229906541,99.38882947901217,101.08214135204152,-66.4175296660793,-79.04804728310744,99.55537508709833,101.08214135204152,-95.32876993725428,95.48294182341328,95.49843892712273,False
PE_LAM_5pct,PE_LAM,positive,0.05,4.105032579967298,0.2,4.055032579967298,-14.106197784142319,-16.830523242851392,23.849429260076537,24.376480405531087,-14.630173772728332,-17.731799691692807,23.90598628925611,24.376480405531087,-20.111676636470587,20.169072707801593,20.169111999130962,False
baseline,baseline,none,0.0,4.105032579967298,0.2,4.055032579967298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
