condition,plating_mode,temperature_C,stress_charge_rate,charge_segment_id,charge_duration_min,charge_I_mean_A,charge_I_min_A,charge_I_max_A,charge_U_start_V,charge_U_end_V,n_points
no_plating_10C_1C,none,10.0,1C,0,124.5708335118448,-2.2812766367217194,-5.000482643792557,-0.25004999999999994,3.3323673231868094,4.2,751
no_plating_10C_2C,none,10.0,2C,0,116.72146368235208,-2.4405554970756875,-10.000661188796174,-0.2500500000000001,3.4228531943605716,4.199999999999999,703
no_plating_25C_1C,none,25.0,1C,0,97.42444812036385,-2.9480361544358895,-5.000538510370096,-0.25004999999999983,3.287858733417773,4.200000000000001,588
plating_10C_1C,partially reversible,10.0,1C,0,123.5842976889092,-2.2964645095013303,-5.000492937705752,-0.25005000000000005,3.3323671157560852,4.199999999999999,744
plating_10C_2C,partially reversible,10.0,2C,0,115.30266335076072,-2.4671593644244245,-10.000664179968135,-0.25004999999999994,3.422852933583104,4.199999999999999,695
plating_25C_1C,partially reversible,25.0,1C,0,97.07648124240023,-2.958354453644881,-5.00054610731858,-0.2500500000000001,3.28785857347426,4.2,586
