condition,branch,electrode,LAM_fraction,neg_am_base,pos_am_base,neg_am_scaled,pos_am_scaled,neg_am_change_pct,pos_am_change_pct
baseline,baseline,none,0.0,0.75,0.665,0.75,0.665,0.0,0.0
NE_LAM_5pct,NE_LAM,negative,0.05,0.75,0.665,0.7124999999999999,0.665,-5.000000000000016,0.0
NE_LAM_10pct,NE_LAM,negative,0.1,0.75,0.665,0.675,0.665,-9.999999999999998,0.0
NE_LAM_20pct,NE_LAM,negative,0.2,0.75,0.665,0.6000000000000001,0.665,-19.999999999999986,0.0
PE_LAM_5pct,PE_LAM,positive,0.05,0.75,0.665,0.75,0.63175,0.0,-5.000000000000004
PE_LAM_10pct,PE_LAM,positive,0.1,0.75,0.665,0.75,0.5985,0.0,-9.999999999999998
PE_LAM_20pct,PE_LAM,positive,0.2,0.75,0.665,0.75,0.532,0.0,-19.999999999999996
