condition,branch,electrode,LAM_fraction,n_points,Q_end_Ah,U_start_V,U_end_V,I_mean_A,t_end_h,selected_segment_id
NE_LAM_10pct,NE_LAM,negative,0.1,1383,4.604433690234213,4.189516569281726,2.5000100000000005,0.19999999999999998,23.022168451171073,0
NE_LAM_20pct,NE_LAM,negative,0.2,1233,4.105032579967298,4.188400245285239,2.500009999999996,0.19999999999999996,20.52516289983622,0
NE_LAM_5pct,NE_LAM,negative,0.05,1457,4.853292958950106,4.18998438841417,2.5000100000000005,0.19999999999999996,24.266464794750675,0
PE_LAM_10pct,PE_LAM,positive,0.1,1527,5.08561417090298,4.190358689264479,2.5000099999999996,0.19999999999999996,25.428070854515177,0
PE_LAM_20pct,PE_LAM,positive,0.2,1521,5.066199867669572,4.19029710138388,2.5000100000000005,0.19999999999999996,25.33099933834812,0
PE_LAM_5pct,PE_LAM,positive,0.05,1530,5.093914289836077,4.1903831635971365,2.5000100000000014,0.19999999999999996,25.469571449180663,0
baseline,baseline,none,0.0,1532,5.101606405497758,4.190404274554617,2.5000099999999987,0.19999999999999996,25.508032027489072,0
