condition,R_contact_mOhm,relax_start_delay_s,U_relax_start_V,U_inf_600s_V,post_ohmic_recovery_amplitude_mV,post_ohmic_tau_FG_eff_s,post_ohmic_t95_s,post_ohmic_t99_s,post_ohmic_recovery_area_mV_s,post_ohmic_tau_tail_s
Rcontact_0mOhm,0.0,0.1,3.7323144400437895,3.7586280203304763,26.313580286686733,25.5,171.10000000000036,409.10000000000036,14724.768574735568,72.07703788433652
Rcontact_2mOhm,2.0,0.1,3.7323144400432815,3.7586280203308315,26.313580287550042,25.5,171.10000000000036,409.10000000000036,14724.768575336311,72.07703788184538
Rcontact_5mOhm,5.0,0.1,3.7323144400436563,3.7586280203301548,26.31358028649844,25.5,171.10000000000036,409.10000000000036,14724.768574650649,72.07703788891034
Rcontact_10mOhm,10.0,0.1,3.732314440044175,3.7586280203298834,26.313580285708404,25.5,171.10000000000036,409.10000000000036,14724.768574179285,72.07703788757921
