cycle,deltaU_mean_mV,deltaU_median_mV,deltaU_min_mV,deltaU_max_mV,deltaU_p95_abs_mV,deltaU_max_abs_mV,delta_recovery_mean_mV,delta_recovery_median_mV,delta_recovery_max_abs_mV
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-1.973656615588515,-2.0536879326538138,-3.0248066265810003,-0.0677636506534185,3.0031902894317453,3.0248066265810003,-0.11468925673005503,-0.1334001029120735,0.6296782530346157
50,-2.1248537140110546,-2.099949863553441,-3.5596466640797075,-0.07514175788614352,3.445074534223602,3.5596466640797075,-0.13845702376402702,-0.17796860866736708,0.7689070083767291
100,-2.2800390207679824,-2.108744258965567,-4.938867380204215,-0.08597208452076899,4.144638635872999,4.938867380204215,-0.1816263211948943,-0.19237679193184754,0.8777839426570289
