cycle,segment_id,segment_type,idx_start,idx_stop,t_start_s,t_end_s,duration_min,U_start_V,U_end_V,I_mean_A,I_min_A,I_max_A,n_points
0,0,discharge,0,31,0.0,1800.0,30.0,4.1762950752678005,4.088665251697243,0.5,0.5,0.5,31
0,1,rest,31,92,1800.0000000000002,5400.0,60.0,4.109124242481769,4.122518341904934,0.0,0.0,0.0,61
0,2,discharge,92,123,5400.000000000001,7200.0,29.999999999999986,4.101663229365387,4.071658890454623,0.5,0.5,0.5,31
0,3,rest,123,184,7200.000000000001,10800.0,59.999999999999986,4.090478161785402,4.096251051213988,0.0,0.0,0.0,61
0,4,discharge,184,215,10800.000000000002,12600.0,29.999999999999968,4.077098780401455,4.052723388643058,0.5,0.5,0.5,31
0,5,rest,215,276,12600.000000000002,16200.0,59.99999999999997,4.070456442925543,4.081054207700867,0.0,0.0,0.0,61
0,6,discharge,276,307,16200.000000000002,18000.0,29.999999999999968,4.063029861637261,4.011424921589962,0.5,0.5,0.5,31
0,7,rest,307,368,18000.000000000004,21600.0,59.999999999999936,4.028398133113106,4.04303041253778,0.0,0.0,0.0,61
0,8,discharge,368,399,21600.000000000004,23400.0,29.99999999999994,4.025793094572734,3.965078657537457,0.5,0.5,0.5,31
0,9,rest,399,460,23400.000000000004,27000.0,59.999999999999936,3.9815096784554553,3.9962756113161193,0.0,0.0,0.0,61
0,10,discharge,460,491,27000.000000000004,28800.0,29.99999999999994,3.9795996496354684,3.921223425576758,0.5,0.5,0.5,31
0,11,rest,491,552,28800.000000000004,32400.0,59.999999999999936,3.9372630364969794,3.950234288114235,0.0,0.0,0.0,61
0,12,discharge,552,583,32400.000000000004,34200.0,29.99999999999994,3.9339561354217056,3.869052851654158,0.5,0.5,0.5,31
0,13,rest,583,644,34200.00000000001,37800.0,59.99999999999988,3.8848248112803576,3.8992043803599756,0.0,0.0,0.0,61
0,14,discharge,644,675,37800.00000000001,39600.0,29.99999999999988,3.8831971068044986,3.81958911956524,0.5,0.5,0.5,31
0,15,rest,675,736,39600.00000000001,43200.0,59.99999999999988,3.8352134779248495,3.847603937118551,0.0,0.0,0.0,61
0,16,discharge,736,767,43200.00000000001,45000.0,29.99999999999988,3.831766771026098,3.777771662496776,0.5,0.5,0.5,31
0,17,rest,767,828,45000.00000000001,48600.0,59.99999999999988,3.793325330689574,3.807252395996088,0.0,0.0,0.0,61
0,18,discharge,828,859,48600.00000000001,50400.0,29.99999999999988,3.7914920931909646,3.7313000207167493,0.5,0.5,0.5,31
0,19,rest,859,920,50400.00000000001,54000.0,59.99999999999988,3.746869228056533,3.7616849198409175,0.0,0.0,0.0,61
0,20,discharge,920,951,54000.00000000001,55800.0,29.99999999999988,3.745913558460387,3.6871288887831204,0.5,0.5,0.5,31
0,21,rest,951,1012,55800.00000000001,59400.0,59.99999999999988,3.702798989570832,3.7162032126190336,0.0,0.0,0.0,61
