condition,plating_mode,temperature_C,charge_rate,initial_soc,role
no_plating_10C_1C,none,10.0,1C,0.05,matched no-plating low-temperature 1C control
no_plating_10C_2C,none,10.0,2C,0.05,matched no-plating low-temperature 2C control
