pair,control_condition,plating_condition,temperature_C,stress_charge_rate,control_Q_discharge_Ah,plating_Q_discharge_Ah,delta_Q_discharge_plating_minus_control_Ah,delta_Q_discharge_plating_minus_control_pct,direct_plating_capacity_abs_max_Ah,direct_plating_current_density_abs_max_A_m2
10C_1C,no_plating_10C_1C,plating_10C_1C,10.0,1C,4.880209776798187,4.87268028739924,-0.007529489398947042,-0.15428618324450383,0.07279505239788542,0.057522426907483756
10C_2C,no_plating_10C_2C,plating_10C_2C,10.0,2C,4.877728176456586,4.867616427460995,-0.010111748995590197,-0.20730447925320544,0.09544590203407814,0.13878279504879373
25C_1C,no_plating_25C_1C,plating_25C_1C,25.0,1C,4.978100834560752,4.9753385524787435,-0.0027622820820081273,-0.05548867276514017,0.0445232930425813,0.030974345155896317
